Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A895575,*Nobi,01/01/2024 08:20:00 AM,January 2024,3104  Burleson Rd in Austin (TX),Stray,Injured,Cat,Intact Female,4 months,Domestic Shorthair,Black
A895576,Zeus,01/01/2024 08:46:00 AM,January 2024,905 Bedford St in Austin (TX),Public Assist,Normal,Dog,Intact Male,3 years,American Pit Bull Terrier,White/Brown
A895580,*Dean,01/01/2024 10:24:00 AM,January 2024,11309 Jones Rd in Travis (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull,Brown Brindle/White
A895783,*Spot,01/01/2024 12:17:00 PM,January 2024,2706 Acopio Bend in Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Yorkshire Terrier Mix,White/Brown
A895786,*Sable,01/01/2024 12:17:00 PM,January 2024,2706 Acopio Bend in Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Yorkshire Terrier Mix,Red/Tan
A895784,*Pinto,01/01/2024 12:17:00 PM,January 2024,2706 Acopio Bend in Austin (TX),Stray,Normal,Dog,Intact Male,0 years,Yorkshire Terrier Mix,White/Brown
A895785,*Batgirl,01/01/2024 12:17:00 PM,January 2024,2706 Acopio Bend in Austin (TX),Stray,Normal,Dog,Intact Female,0 years,Yorkshire Terrier Mix,Tricolor
A895589,Tigger,01/01/2024 02:25:00 PM,January 2024,5401 East Parmer Lane in Travis (TX),Stray,Injured,Dog,Intact Female,15 years,German Shepherd Mix,Brown
A895603,Brad,01/01/2024 04:07:00 PM,January 2024,7101 N Ih 35 in Austin (TX),Public Assist,Normal,Dog,Intact Male,9 years,Chihuahua Longhair,Fawn/Yellow
A882236,Duke,01/01/2024 05:15:00 PM,January 2024,905 Chote in Austin (TX),Stray,Normal,Dog,Intact Male,11 months,Pit Bull Mix,Tan/White
A895611,,01/01/2024 11:13:00 PM,January 2024,905 Vasquez in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,American Foxhound Mix,White/Black Brindle
A895610,*Ansley,01/01/2024 11:13:00 PM,January 2024,905 Vasquez in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,American Foxhound Mix,White/Brown Brindle
A895627,Chopper,01/02/2024 06:51:00 AM,January 2024,8801 S Congress Ave in Travis (TX),Stray,Normal,Dog,Intact Male,1 year,Pit Bull,White/Black
A895628,*Dot Dot,01/02/2024 07:20:00 AM,January 2024,7200 Elroy Road in Travis (TX),Stray,Injured,Dog,Intact Female,2 years,Pit Bull Mix,White/Black
