Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A887079,*Indigo,01/02/2024 08:21:00 AM,Jan 2024,08/15/2022,Adoption,Foster,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
A895404,,01/02/2024 10:21:00 AM,Jan 2024,12/28/2021,Died,In Kennel,Cat,Intact Female,2 years,Domestic Shorthair,Black/White
A895394,Peaches,01/02/2024 11:39:00 AM,Jan 2024,12/28/2021,Return to Owner,,Dog,Spayed Female,2 years,Siberian Husky,Black/White
A890294,*Lionel,01/02/2024 11:45:00 AM,Jan 2024,07/04/2023,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair,Cream Tabby
A895158,*Charlie,01/02/2024 12:15:00 PM,Jan 2024,12/22/2022,Transfer,Partner,Cat,Intact Male,1 year,Domestic Shorthair,Brown Tabby
A893687,Isadora,01/02/2024 12:15:00 PM,Jan 2024,11/27/2017,Transfer,Partner,Cat,Spayed Female,6 years,Domestic Shorthair,Brown Tabby
A889611,*Coachella,01/02/2024 12:28:00 PM,Jan 2024,09/25/2021,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Black Brindle
A895020,Pancho,01/02/2024 12:31:00 PM,Jan 2024,09/20/2023,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby
A895537,Buddy,01/02/2024 12:42:00 PM,Jan 2024,12/30/2021,Return to Owner,,Dog,Intact Male,2 years,Doberman Pinsch Mix,Red
A895385,Bunny,01/02/2024 12:58:00 PM,Jan 2024,12/28/2021,Adoption,,Dog,Intact Male,2 years,Chihuahua Longhair Mix,Black/Tan
A895241,Chapo,01/02/2024 01:12:00 PM,Jan 2024,12/03/2020,Return to Owner,,Dog,Neutered Male,3 years,Pit Bull,Tan/White
A893954,Charlie,01/02/2024 01:31:00 PM,Jan 2024,12/01/2022,Adoption,,Dog,Intact Male,1 year,Labrador Retriever,Chocolate
A895589,Tigger,01/02/2024 01:50:00 PM,Jan 2024,12/01/2008,Return to Owner,,Dog,Intact Female,15 years,German Shepherd Mix,Brown
A895576,Zeus,01/02/2024 02:03:00 PM,Jan 2024,07/02/2020,Return to Owner,,Dog,Intact Male,3 years,American Pit Bull Terrier,White/Brown
A887367,*Emmett,01/02/2024 02:11:00 PM,Jan 2024,08/20/2022,Adoption,,Dog,Neutered Male,1 year,American Bulldog Mix,Blue/White
A895021,*Leia,01/02/2024 02:28:00 PM,Jan 2024,09/20/2023,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A887411,*Woodrow,01/02/2024 02:56:00 PM,Jan 2024,02/21/2023,Adoption,,Dog,Neutered Male,10 months,Black Mouth Cur,Brown/White
A891287,*Missy Bit,01/02/2024 03:00:00 PM,Jan 2024,09/05/2023,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Black
A890488,*Trixie,01/02/2024 03:09:00 PM,Jan 2024,08/23/2023,Adoption,Foster,Cat,Spayed Female,4 months,Domestic Shorthair,Torbie/Black
A886776,*Thalia,01/02/2024 03:13:00 PM,Jan 2024,08/10/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Black/White
A851936,*Mamacita,01/02/2024 03:22:00 PM,Jan 2024,02/21/2021,Adoption,Foster,Dog,Spayed Female,2 years,Black Mouth Cur/American Staffordshire Terrier,Brown/White
A894281,Toast,01/02/2024 03:28:00 PM,Jan 2024,09/06/2023,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black
A887450,*Isobel,01/02/2024 03:41:00 PM,Jan 2024,08/21/2021,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair,Black
A895470,,01/02/2024 03:43:00 PM,Jan 2024,12/29/2021,Transfer,Partner,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,White/Black
