"","Animal ID","Name","IntakeType","IntakeCondition","AnimalType","Sex","Age","OutcomeType","OutcomeDate","LengthofStay","DOB","log_LOS","log_Age","sqrt_Age","Adoption","age2"
"1","A495162","Mr Manly Man","Public Assist","Medical","Cat","Neutered Male",16,"Disposal",2024-05-26,15,2007-11-16,2.77258872223978,1.23044892137827,1.6094379124341,0,4
"2","A510858","Shiva","Owner Surrender","Normal","Cat","Spayed Female",16,"Euthanasia",2024-08-28,180,2008-04-08,5.19849703126583,1.23044892137827,1.6094379124341,0,4
"3","A557091","Bartina","Owner Surrender","Normal","Cat","Spayed Female",16,"Adoption",2024-05-03,11,2007-09-30,2.484906649788,1.23044892137827,1.6094379124341,1,4
"4","A557091","Bartina","Owner Surrender","Normal","Cat","Spayed Female",16,"Adoption",2024-09-04,107,2007-09-30,4.68213122712422,1.23044892137827,1.6094379124341,1,4
"5","A566659","Buddy","Stray","Medical","Dog","Neutered Male",16,"Return to Owner",2024-08-13,0,2008-02-19,0,1.23044892137827,1.6094379124341,0,4
"6","A566837","Chica","Stray","Normal","Cat","Spayed Female",15,"Euthanasia",2024-10-09,3,2009-06-17,1.38629436111989,1.20411998265592,1.58370634629087,0,3.87298334620742
"7","A567441","Coby","Stray","Normal","Cat","Neutered Male",17,"Adoption",2024-04-13,20,2007-02-26,3.04452243772342,1.25527250510331,1.63376082266715,1,4.12310562561766
"8","A574084","Maui","Owner Surrender","Normal","Dog","Spayed Female",15,"Adoption",2024-09-30,185,2009-02-21,5.2257466737132,1.20411998265592,1.58370634629087,1,3.87298334620742
"9","A577358","Sally","Stray","Medical","Dog","Spayed Female",15,"Return to Owner",2024-01-19,0,2008-06-21,0,1.20411998265592,1.58370634629087,0,3.87298334620742
"10","A590085",NA,"Stray","Medical","Dog","Spayed Female",14,"Return to Owner",2024-12-10,0,2010-10-03,0,1.17609125905568,1.55638673424724,0,3.74165738677394
"11","A601455","Gashiki","Stray","Normal","Cat","Neutered Male",15,"Transfer",2024-07-05,18,2009-05-19,2.94443897916644,1.20411998265592,1.58370634629087,0,3.87298334620742
"12","A602482","*Emma","Stray","Medical","Cat","Spayed Female",16,"Died",2024-07-05,5,2008-06-02,1.79175946922805,1.23044892137827,1.6094379124341,0,4
"13","A602583","Rango","Stray","Medical","Dog","Neutered Male",15,"Return to Owner",2024-01-20,0,2008-06-18,0,1.20411998265592,1.58370634629087,0,3.87298334620742
"14","A607286","Dosha","Stray","Normal","Dog","Intact Female",14,"Return to Owner",2024-12-22,0,2010-12-04,0,1.17609125905568,1.55638673424724,0,3.74165738677394
"15","A615923","Tut","Stray","Normal","Dog","Neutered Male",13,"Transfer",2024-10-20,5,2011-10-23,1.79175946922805,1.14612803567824,1.52726237491235,0,3.60555127546399
"16","A622427","Molly","Stray","Aged","Dog","Spayed Female",12,"Died",2024-08-10,15,2012-01-05,2.77258872223978,1.11394335230684,1.49606798806764,0,3.46410161513775
"17","A625477","Tiara","Stray","Normal","Dog","Intact Female",14,"Return to Owner",2024-11-22,4,2010-04-24,1.6094379124341,1.17609125905568,1.55638673424724,0,3.74165738677394
"18","A626141","Opossum","Public Assist","Medical","Dog","Spayed Female",18,"Adoption",2024-05-18,10,2006-05-07,2.39789527279837,1.27875360095283,1.65682531931737,1,4.24264068711928
"19","A626710","King","Owner Surrender","Normal","Dog","Neutered Male",15,"Adoption",2024-06-08,96,2009-05-10,4.57471097850338,1.20411998265592,1.58370634629087,1,3.87298334620742
"20","A633383","Rocky","Stray","Medical","Dog","Neutered Male",15,"Return to Owner",2024-03-14,4,2008-06-28,1.6094379124341,1.20411998265592,1.58370634629087,0,3.87298334620742
